Index,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
274,Ne-Yo,"4,368,629,006","2,245,144,528",204,0,10,310722
275,Lil Durk,"4,367,616,218","3,009,354,038",359,0,6,170922
276,Kane Brown,"4,364,488,364","29,797,048",98,0,10,310722
277,Kehlani,"4,361,626,721","2,028,969,469",124,0,10,90822
278,Kevin Gates,"4,359,021,971","739,286,985",314,0,6,70822
279,Niall Horan,"4,338,726,666","517,135,427",69,0,11,190922
280,Bryson Tiller,"4,330,601,767","1,295,854,047",70,0,8,50922
281,Jonas Brothers,"4,329,888,033","498,204,068",95,1,9,70822
282,Bizarrap,"4,326,642,648","503,968,381",87,0,12,140922
283,Capital Bra,"4,317,253,980","673,800,705",276,0,9,70822
284,Lil Tjay,"4,313,086,274","1,884,183,028",65,0,11,310722
285,Snoop Dogg,"4,300,203,668","6,192,858,304",726,1,7,250822
286,Macklemore & Ryan Lewis,"4,290,529,937","4,265,483",48,1,6,40922
287,Lil Tecca,"4,273,063,329","302,858,918",79,1,11,120922
288,Luke Bryan,"4,267,128,439","540,870,550",149,0,14,10822
289,Natti Natasha,"4,253,199,571","2,141,323,366",93,0,9,170922
290,Wisin,"4,226,257,427","5,360,562,962",131,0,10,180822
291,Aerosmith,"4,219,398,737",0,318,0,9,170922
292,Vance Joy,"4,216,274,820",0,87,1,9,10822
293,Kelly Clarkson,"4,206,190,955","231,077,825",329,0,8,200922
294,Alejandro Fernández,"4,201,269,620","352,247,735",313,0,11,310722
295,Stevie Wonder,"4,196,723,912","301,358,086",657,0,11,110922
296,Jennifer Lopez,"4,186,796,728","1,097,279,258",240,0,13,180922
297,Johnny Cash,"4,174,390,143","163,740,766","1,679",0,7,190822
298,Maná,"4,119,964,379","63,757,921",220,0,12,180822
299,Thomas Rhett,"4,112,832,625","247,574,441",120,0,15,90822
300,Ryan Lewis,"4,110,355,782","43,371,022",33,1,6,310722
301,Hans Zimmer,"4,092,359,874","119,832,137","1,545",0,3,310722
302,NAV,"4,088,499,280","396,587,742",117,0,10,80922
303,Lil Pump,"4,054,627,650","2,403,169,234",74,0,10,310722
304,Pearl Jam,"4,052,231,789","77,042,747","2,127",0,9,310722
305,James Bay,"4,051,355,922","1,957,856,299",90,0,9,120822
306,Disturbed,"4,034,857,022","521,301,528",173,0,6,310722
307,YG,"4,034,206,176","997,641",198,0,8,310722
308,Amy Winehouse,"4,024,161,318","1,656,164,329",157,0,7,170922
309,Wisin & Yandel,"4,004,531,845","709,421,106",293,0,12,310722
310,YNW Melly,"3,991,996,348","156,055,221",83,0,9,310722
311,Lil Skies,"3,968,361,888","544,047,899",75,0,9,220822
312,Nio Garcia,"3,960,430,779","174,098,397",124,0,7,310722
313,Tones And I,"3,957,800,698","5,232,238",33,1,5,170922
314,Kesha,"3,955,337,905","39,496,270",139,0,10,150922
315,Backstreet Boys,"3,949,466,238","6,402,079",145,1,8,180922
316,Aventura,"3,943,857,084","4,905,865,217",123,0,12,10922
317,Flume,"3,942,056,858","39,660,958",145,0,9,310722
318,Dr. Dre,"3,941,098,327","699,574,957",75,0,8,190922
319,Miguel,"3,933,509,386","873,635,526",145,0,8,310722
320,Jul,"3,931,452,487","1,335,247",572,0,0,180922
321,Lizzo,"3,911,061,177",0,79,0,8,120922
322,Billy Joel,"3,885,486,622","18,747,880",383,0,10,160822
323,ROSALÍA,"3,871,106,303","146,654",61,0,8,200922
324,Calibre 50,"3,859,723,768","1,117,326,282",226,0,10,250822
325,Phil Collins,"3,836,785,174",0,339,0,9,140822
326,Matheus & Kauan,"3,831,562,276","62,540,256",179,0,12,120922
327,Akon,"3,813,017,846","876,355,276",207,0,9,310722
328,Jason Aldean,"3,797,816,243","1,134",166,0,8,310722
329,Eagles,"3,784,792,723","436,178,161",189,1,8,230822
330,George Ezra,"3,745,977,355","3,853,999,824",76,0,7,70922
331,Yandel,"3,731,724,067","194,535,961",175,0,9,310722
332,Prince Royce,"3,724,376,964",0,127,0,10,310722
333,The Offspring,"3,713,219,015","4,310,489,285",159,0,7,130822
334,24kGoldn,"3,705,648,954","1,036,388,958",62,1,7,310722
335,Three Days Grace,"3,698,665,397","937,757,024",96,0,8,310722
336,Wesley Safadão,"3,698,314,476","5,692,666,319",283,0,6,310722
337,Anderson .Paak,"3,694,145,511","606,712,238",152,0,5,310722
338,The Strokes,"3,688,560,624","1,690,872,391",82,0,6,70822
339,Don Toliver,"3,686,151,351","3,762,124",66,1,5,50922
340,Conan Gray,"3,684,167,999","1,427,914,798",35,0,10,150922
341,Dan + Shay,"3,680,653,230","231,488,539",73,0,9,30822
342,Rex Orange County,"3,678,846,424","138,810,390",58,0,8,110922
343,Jeremih,"3,674,742,679","543,326,342",140,0,8,240822
344,benny blanco,"3,661,450,439","2,887,125,495",23,1,7,40922
345,Cartel De Santa,"3,655,552,123","24,281,620",136,0,10,100922
346,Avenged Sevenfold,"3,634,693,374","1,808,585,763",163,0,9,310722
347,Ricardo Arjona,"3,629,270,035",0,341,0,3,310722
348,Céline Dion,"3,626,954,646","952,817,602",492,0,9,200922
349,Ninho,"3,614,658,124","313,902,252",146,0,4,310722
350,Måneskin,"3,603,994,073","1,360,259,448",33,1,7,190922
